"team1","team2","spread","total"
"Wisconsin (#9)","Michigan State (#12)","-1.5 (-110) / +1.5 (-110)","O140.0 (-110) / U140.0 (-110)"
"Maryland","Purdue","+5.5 (-110) / -5.5 (-110)","O136.5 (-110) / U136.5 (-110)"
"Michigan (#19)","Nebraska","-8.0 (-110) / +8.0 (-110)","O147.0 (-110) / U147.0 (-110)"
"Iowa (#4)","Minnesota","-7.0 (-110) / +7.0 (-110)","O163.5 (-110) / U163.5 (-110)"
